"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2020-01-01",,,,,,,,,"0.00",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2020-01-02",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2020-01-03",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2020-01-04",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2020-01-05",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2020-01-06",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2020-01-07",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2020-01-08",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2020-01-09",,,,,,,,,"0.00",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2020-01-10",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2020-01-11",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2020-01-12",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2020-01-13",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2020-01-14",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2020-01-15",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2020-01-16",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2020-01-17",,,,,,,,,"0.18",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2020-01-18",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2020-01-19",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2020-01-20",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2020-01-21",,,,,,,,,"0.01",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2020-01-22",,,,,,,,,"0.00",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2020-01-23",,,,,,,,,"0.00",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2020-01-24",,,,,,,,,"0.00",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2020-01-25",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2020-01-26",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2020-01-27",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2020-01-28",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2020-01-29",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2020-01-30",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2020-01-31",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2020-02-01",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2020-02-02",,,,,,,,,"0.00",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2020-02-03",,,,,,,,,"0.00","T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2020-02-04",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2020-02-05",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
