"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USC00458034","STARTUP 1 E, WA US","47.8663","-121.7175","51.8","2020-01-01",,,,,,,,,"0.99",",,7,0800",,,,,,,"53",",,7","41",",,7","46",",,7,0800",,,,,,,,,,,,,,,,,,
"USC00458034","STARTUP 1 E, WA US","47.8663","-121.7175","51.8","2020-01-02",,,,,,,,,"0.66",",,7,0800",,,,,,,"50",",,7","38",",,7","38",",,7,0800",,,,,,,,,,,,,,,,,,
"USC00458034","STARTUP 1 E, WA US","47.8663","-121.7175","51.8","2020-01-03",,,,,,,,,"0.23",",,7,0800",,,,,,,"44",",,7","38",",,7","44",",,7,0800",,,,,,,,,,,,,,,,,,
"USC00458034","STARTUP 1 E, WA US","47.8663","-121.7175","51.8","2020-01-04",,,,,,,,,"1.09",",,7,0800",,,,,,,"63",",,7","34",",,7","34",",,7,0800",,,,,,,,,,,,,,,,,,
"USC00458034","STARTUP 1 E, WA US","47.8663","-121.7175","51.8","2020-01-05",,,,,,,,,"0.06",",,7,0800",,,,,,,"45",",,7","34",",,7","38",",,7,0800",,,,,,,,,,,,,,,,,,
"USC00458034","STARTUP 1 E, WA US","47.8663","-121.7175","51.8","2020-01-06",,,,,,,,,"0.63",",,7,0800",,,,,,,"43",",,7","35",",,7","38",",,7,0800",,,,,,,,,,,,,,,,,,
"USC00458034","STARTUP 1 E, WA US","47.8663","-121.7175","51.8","2020-01-07",,,,,,,,,"0.66",",,7,0800",,,,,,,"52",",,7","38",",,7","47",",,7,0800",,,,,,,,,,,,,,,,,,
"USC00458034","STARTUP 1 E, WA US","47.8663","-121.7175","51.8","2020-01-08",,,,,,,,,"1.30",",,7,0800",,,,,,,"48",",,7","39",",,7","39",",,7,0800",,,,,,,,,,,,,,,,,,
"USC00458034","STARTUP 1 E, WA US","47.8663","-121.7175","51.8","2020-01-09",,,,,,,,,"0.37",",,7,0800",,,,,,,"39",",,7","30",",,7","32",",,7,0800",,,,,,,,,,,,,,,,,,
"USC00458034","STARTUP 1 E, WA US","47.8663","-121.7175","51.8","2020-01-10",,,,,,,,,"0.15",",,7,0800",,,,,,,"36",",,7","31",",,7","35",",,7,0800",,,,,,,,,,,,,,,,,,
"USC00458034","STARTUP 1 E, WA US","47.8663","-121.7175","51.8","2020-01-11",,,,,,,,,"0.55",",,7,0800",,,,,,,"39",",,7","35",",,7","36",",,7,0800",,,,,,,,,,,,,,,,,,
"USC00458034","STARTUP 1 E, WA US","47.8663","-121.7175","51.8","2020-01-12",,,,,,,,,"1.30",",,7,0800",,,,,,,"41",",,7","32",",,7","32",",,7,0800",,,,,,,,,,,,,,,,,,
"USC00458034","STARTUP 1 E, WA US","47.8663","-121.7175","51.8","2020-01-13",,,,,,,,,"0.20",",,7,0800",,,,,,,"33",",,7","30",",,7","31",",,7,0800",,,,,,,,,,,,,,,,,,
"USC00458034","STARTUP 1 E, WA US","47.8663","-121.7175","51.8","2020-01-14",,,,,,,,,"0.80",",,7,0800",,,,,,,"33",",,7","26",",,7","26",",,7,0800",,,,,,,,,,,,,,,,,,
"USC00458034","STARTUP 1 E, WA US","47.8663","-121.7175","51.8","2020-01-15",,,,,,,,,"0.41",",,7,0800",,,,,,,"37",",,7","25",",,7","29",",,7,0800",,,,,,,,,,,,,,,,,,
"USC00458034","STARTUP 1 E, WA US","47.8663","-121.7175","51.8","2020-01-16",,,,,,,,,"0.08",",,7,0800",,,,,,,"35",",,7","29",",,7","32",",,7,0800",,,,,,,,,,,,,,,,,,
"USC00458034","STARTUP 1 E, WA US","47.8663","-121.7175","51.8","2020-01-17",,,,,,,,,"0.00",",,7,0800",,,,,,,"40",",,7","26",",,7","29",",,7,0800",,,,,,,,,,,,,,,,,,
"USC00458034","STARTUP 1 E, WA US","47.8663","-121.7175","51.8","2020-01-18",,,,,,,,,"0.19",",,7,0800",,,,,,,"40",",,7","29",",,7","37",",,7,0800",,,,,,,,,,,,,,,,,,
"USC00458034","STARTUP 1 E, WA US","47.8663","-121.7175","51.8","2020-01-19",,,,,,,,,"0.04",",,7,0800",,,,,,,"44",",,7","36",",,7","44",",,7,0800",,,,,,,,,,,,,,,,,,
"USC00458034","STARTUP 1 E, WA US","47.8663","-121.7175","51.8","2020-01-20",,,,,,,,,"0.00",",,7,0800",,,,,,,"52",",,7","36",",,7","47",",,7,0800",,,,,,,,,,,,,,,,,,
